Item ID	Item value	Change in Kuiper test statistic when item removed
AHCTF1	21.1761593402997	-0.005328218243819516
MCM7	0.683561628074998	0.009377664109121664
FASTKD3	16.4677609473328	-0.005328218243819516
CISD2	11.3864204388796	0.009377664109121664
NUCKS1	15.3673354341986	-0.005328218243819516
NUDT3	11.4232401981878	0.009377664109121664
CHCHD4	14.8843863095086	-0.005328218243819516
TDO2	10.6585001595495	0.009377664109121664
SUMO1	15.5306868756964	-0.005328218243819516
CASP6	8.43489844838945	0.009377664109121664
OTUD6B	16.1411902240749	-0.005328218243819516
PPAT	11.3295772706258	0.009377664109121664
NUP62	20.2936880510849	-0.005328218243819516
TRIM24	11.4617091826284	0.009377664109121664
SLC25A40	8.0996448865007	0.009377664109121664
DENR	14.5991365387864	-0.005328218243819516
UTP14A	6.19301909088345	0.009377664109121664
PSPH	21.2499962985765	-0.005328218243819516
TMPO	19.8469214760747	-0.005328218243819516
CCT3	20.6869285995146	-0.005328218243819516
MMD	8.230690748729	0.009377664109121664
DDX58	2.98746756448845	0.009377664109121664
RPL22	6.4014243627924	0.009377664109121664
IFRD1	11.5791831182528	0.009377664109121664
C10ORF10	4.17766645626555	0.009377664109121664
ATP11C	7.7234308962038	0.009377664109121664
ACSL4	20.0924339799516	-0.005328218243819516
NME1	21.1720453654628	-0.005328218243819516
SIKE1	21.5876804141819	-0.005328218243819516
DDX39A	21.6752068396459	-0.005328218243819516
COL4A2	3.97329920049975	0.009377664109121664
TMEM33	20.6581218714017	-0.005328218243819516
RPL7L1	18.0688886027917	-0.005328218243819516
PPIF	15.3451971061913	-0.005328218243819516
FAM96A	20.8555622149289	-0.005328218243819516
SNRPF	21.2343906924861	-0.005328218243819516
EEF1E1	15.5461654914987	-0.005328218243819516
RAI14	23.6694727907814	-1.7934925756896147E-4
NUP205	23.2184093320498	-0.005328218243819516
PSMD14	23.7570152046277	-1.7934925756896147E-4
SDC2	2.1457884285213	0.009377664109121664
SRSF1	20.4137057495132	-0.005328218243819516
AK2	12.0071099803571	0.009377664109121664
TARS	23.2805011724871	-0.005328218243819516
CENPA	6.69207077965955	0.009377664109121664
DNAJB6	15.4240572084157	-0.005328218243819516
GRPEL1	14.946593089848	-0.005328218243819516
ERI1	8.87918382513715	0.009377664109121664
ZKSCAN3	2.3218627414082	0.009377664109121664
DMD	16.7134730567725	-0.005328218243819516
MPZL1	23.1641977766819	-0.005328218243819516
UBE2F	18.5828749659942	-0.005328218243819516
RANBP1	20.8398458867934	-0.005328218243819516
SLC16A1	22.5365714162657	-0.005328218243819516
RRM2	15.9260167787367	-0.005328218243819516
TOR1A	14.5330167507282	-0.0025732270747277908
EPT1	22.6215769404598	-0.005328218243819516
NAP1L1	20.7011531819113	-0.005328218243819516
HSPE1	19.3270731635036	-0.005328218243819516
AZIN1	11.9692027396912	0.009377664109121664
DHFR	10.6748106039481	0.009377664109121664
GGCT	23.1944989424554	-0.005328218243819516
CAPRIN1	23.1779018826964	-0.005328218243819516
ID2	2.97006248487435	0.009377664109121664
NDUFAF4	16.0186483323947	-0.005328218243819516
CYCS	17.3840547622541	-0.005328218243819516
HNRNPC	21.4542977193464	-0.005328218243819516
ALDH8A1	4.20497407531285	0.009377664109121664
RAN	23.1379875412624	-0.005328218243819516
